"","Anthophora_terminalis","Stelis_verticalis","Anthidium_manicatum","Megachile_campanulae","Megachile_pugnata","Megachile_rotundata","Megachile_frigida","Megachile_brevis","Megachile_mendica","Megachile_centucularis","Megachile_inermis","Megachile_relativa","Megachile_sculpturalis","Coelioxys_alternata","Coelioxys_moesta","Coelioxys_sayi","Chelostoma_campanularum","Chelostoma_rapunculi","Heriades_crucifera","Heriades_variolosa","Hoplitis_producta","Hoplitis_spoliata","Hoplitis_truncata","Osmia_lignaria","Osmia_atriventis","Osmia_pumila","Osmia_caerulescens","Hylaeus_modestus","Hylaeus_affinis","Hylaeus_punctatus","Hylaeus_hyalinatus","Hylaeus_leptocephalus","Hylaeus_annulatus","Hylaeus_mesillae","Hylaeus_verticalis"
"ACZ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,50,14,0,0,0,0,0,0,0
"ADA",0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0
"ADB",0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0
"ADC",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ADD",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0
"ADE",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ADF",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ADG",0,0,0,0,0,19,0,0,12,0,0,0,0,0,0,0,0,0,44,0,0,3,0,0,0,0,7,0,0,0,0,0,0,0,0
"ADH",0,0,0,0,0,0,0,0,0,64,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,8,0,0,0,0,0,0,0
"ADI",0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0
"ADJ",0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0
"ADK",0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0
"ADL",0,0,0,0,0,4,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ADM",0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,23,0,45,0,0,12,9,20,0,0,0,0,0,0,0,0,0,0,0
"ADN",0,0,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"ADO",0,0,0,0,0,82,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,46,42,0,0,0,0,0,0,0,0
"ADP",0,0,0,64,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0
"ADQ",0,0,0,11,18,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,1,0,0,10,26,0,0,0,0,0,0,0,0
"ADR",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ADS",0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,0,0,0,0,0,0,0,0,0
"ADT",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,110,32,0,0,0,0,0,0,0,0
"ADU",0,0,0,0,0,9,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,41,66,0,0,0,0,0,0,0,0
"ADV",0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,85,39,0,0,0,0,0,0,0,0
"ADW",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0
"ADX",0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ADY",0,0,0,33,0,2,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,26,44,10,6,0,0,0,0,0,0
"ADZ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0
"AEA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AEB",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AEC",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AED",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0
"AEE",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0
"AEF",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0
"AEG",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AEH",0,0,0,0,0,0,0,0,0,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,16,0,0,0,0,0,0,0,0
"AEI",0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,2,0,0,0,0,0,0
"AEJ",0,0,0,0,0,14,0,0,0,69,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,41,0,0,0,0,0,0,0,0
"AEK",0,0,0,8,2,11,0,0,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,163,4,0,0,0,0,0,0,0
"AEL",0,0,0,15,0,7,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,15,0,0,0,0,0,0,0,0
"AEM",0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,19,0,0,0,0,0,44,0,0
"AEN",0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,0,0,40,0,0,0,0,0,0,0,0,0
"AEO",0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AEP",0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0
"AEQ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,25,0,0,0,0,0,0,0,0
"AER",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0
"AES",0,0,0,0,3,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0
"AET",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AEU",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"AEV",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AEW",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AEX",0,0,0,0,0,8,0,22,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,26,0,37,0,0,0,0,0,0,0,0,0
"AEY",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AEZ",0,0,0,20,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,0,0,0,0,0,0,0,0,0
